Dept,JobDate,jobno,Vehicleid,UnitNo,Reason,Notes,CostParts,CostLabor,CostTotal
2111,03/27/2015 12:00:00 AM,14415,X01917      ,282,13    SNOW BREAKDOWN,"HYD LEAKSENT TO CAT TO REPAIR/REPLACE MAIN HYDRAULIC CONTROL VALVE AND ASSYHO PENNINVOICE WOCE0581604$9,083.02",9083.02,0,9083.02
2111,03/02/2015 12:00:00 AM,14709,B24602      ,797,22    CONVERSION,INSTALLATION OF A NEW POLYCAST SANDER -FISHERBOBCAT OF STRATFORDINVOICE 02-58848$4995.95,4995.95,0,4995.95
2111,03/05/2015 12:00:00 AM,14773,1227,241,13    SNOW BREAKDOWN,CHECK REAR-END (BROKEN AXLE)TOW FROM CRANE ROADBILLS TOWINGINVOICE 163457$175.00,4972.21,0,4972.21
2111,03/26/2015 12:00:00 AM,14735,B31276      ,177,13    SNOW BREAKDOWN,"CHECK NOISE IN REAR- END (DIFF)TOWED FROM VEHICLE MAINTENANCE TO INTERSTATE FORD IN MILFORDBILLS TOWING, INVOICE 165003$250.00GABRIELLI FORDREPLACE REAR , BEARINGS, SEALSU-JOINTSINVOICE 85031MS      $4570.80",4820.8,0,4820.8
2111,01/09/2015 12:00:00 AM,14107,1467,121,08    PM SERVICE              ***,"REMOVE & REPLACE REAR SPRINGS, CHECK COOLANT TUBESPM SERVIVE",4697.55,0,4697.55
2135,02/24/2015 12:00:00 AM,14282,C36323      ,448,04    DRIVER'S REPORT,DASHPM SERVICECHECK TUNE UP,3497.83,0,3497.83
2143,02/18/2015 12:00:00 AM,14397,4830,354,04    DRIVER'S REPORT,TIRES ?RED LIGHT ON IN DASH UNIT NOT REJENSENT TO GABRIOELLI INVOICE 84461MS$767.64,3172.64,0,3172.64
2135,03/26/2015 12:00:00 AM,14925,C95216      ,435,01    BREAKDOWN            ***,"TRUCK WON'T RUN, TOWED TO GABRIELLI FORD GABRIELLI FORD \RE-MAN TURBO, EGR VALVE, CARRIER BEARINGINVOICE 85032MS$3,106.46",3106.46,0,3106.46
2143,03/26/2015 12:00:00 AM,14618,48877,373,04    DRIVER'S REPORT,CHECK BRAKESHYD LEAK,3076.72,0,3076.72
2143,03/13/2015 12:00:00 AM,14822,B20089      ,31,04    DRIVER'S REPORT,LOW POWER AND ENGINE LITE IS ONSENT TO STAMFORD FORDINVOICE 293481$2981.76,2981.76,0,2981.76
2111,03/26/2015 12:00:00 AM,14802,1244,240,04    DRIVER'S REPORT,"CHECK PLOW FRAME,BOLTS MISSING & ADJUST BRAKES",2776.07,0,2776.07
2111,03/26/2015 12:00:00 AM,14640,1402,228,13    SNOW BREAKDOWN,ROAD CALL TO HIGH RIDGE RDTIRES FELL OFFTOWED IN BY BILLS SERVICEBROKEN LEAF SPRINGSINVOICE #161148$175.00,2502.70,0,2502.70
2143,01/14/2015 12:00:00 AM,14206,50550,357,04    DRIVER'S REPORT,NEED REAR TIRESCHECK HYD OIL,2465.54,0,2465.54
2111,03/26/2015 12:00:00 AM,14450,1403,226,13    SNOW BREAKDOWN,HYD LEAKRIGHT SIDE WIPERREMOVE PARTS FOR OTHER TRUCKS  AXLE AND WIPER MOTOR,2431.62,0,2431.62
2143,01/20/2015 12:00:00 AM,14270,45569,350,04    DRIVER'S REPORT,REAR TIRESCHECK OIL,2389.78,0,2389.78
2143,01/05/2015 12:00:00 AM,14167,5694,368,01    BREAKDOWN            ***,"UNIT SENT TO MDANITARY FOR SCALE SYSTEM ON FRONT FORKSSANITARY EQUIPMENTINVOICE 074644$2,387.46",2387.46,0,2387.46
2143,01/05/2015 12:00:00 AM,14166,5694,368,01    BREAKDOWN            ***,"UNIT SENT TO SANITARY FOR SCALE SYSTEM ON FRONT FORKS REPLACE 2 PROXIMITY SWITCHES AND VULCAN METERSANITARY EQUIPMENTINVOICE 074644$2,387.46",2387.46,0,2387.46
2143,02/24/2015 12:00:00 AM,14551,49618,356,04    DRIVER'S REPORT,REAR TIRES,2384.49,0,2384.49
2111,03/13/2015 12:00:00 AM,14781,B34630      ,168,01    BREAKDOWN            ***,"BREAKDOWN, INSTRUMENT CLUSTER AND HARNESS BURNT UPFUEL SYSTEM NOT WORKINGGABRIELLI MACKINVOICE 84832MS$2,375.24",2375.24,0,2375.24
2111,01/14/2015 12:00:00 AM,14039,1224,222,04    DRIVER'S REPORT,CHECK BRAKE ADJUSTMENT,2305.19,0,2305.19
2143,01/28/2015 12:00:00 AM,14234,49328,358,08    PM SERVICE              ***,PM SERVICEAIR LEAK,2277.02,0,2277.02
2111,03/26/2015 12:00:00 AM,14647,1226,117,38    WARRANTY,LOW COOLANT,2169.18,0,2169.18
2111,03/27/2015 12:00:00 AM,14839,1466,124,40    NEGLIGENCE,BENT SPINNER ASSY,2163.69,0,2163.69
2116,03/26/2015 12:00:00 AM,14285,82039,261,10    ROADCALL,"RADIATOR, FAN",2149.31,0,2149.31
2111,01/14/2015 12:00:00 AM,14142,110294,608,40    NEGLIGENCE,"INSTALL BROOM -MAIN CORE FOR BROOM SECTIONS WAS BENT , OUT OF SHAPE . DAMAGE CAUSING BROOMS SECTION TO NOT LOCK INTO CORE . HAD TO REPLACE EVERYTHING DUE TO DAMAGE .",2139.35,0,2139.35
2111,02/04/2015 12:00:00 AM,14417,1225,119,13    SNOW BREAKDOWN,REAR SPRINGS BROKEN,2102.29,0,2102.29
2111,03/06/2015 12:00:00 AM,14586,1223,220,13    SNOW BREAKDOWN,REAR LEAF SPRINGS,1985.68,0,1985.68
2111,02/11/2015 12:00:00 AM,14538,1243,116,04    DRIVER'S REPORT,COOLANT LEAK,1933.83,0,1933.83
2111,02/24/2015 12:00:00 AM,14394,1365,244,13    SNOW BREAKDOWN,ANTI FREEZE LEAK CHECK REAR LIGHTS,1836.75,0,1836.75
2143,01/20/2015 12:00:00 AM,14271,50760,362,04    DRIVER'S REPORT,CHECK REAR TIRESRIGHT HEAD LIGHT OUT,1810.38,0,1810.38
2111,03/26/2015 12:00:00 AM,14680,1759,131,13    SNOW BREAKDOWN,"AUGER WILL NOT TURNARMSTRONG WELDING, FABRICATE NEW LOCKING DEVICE AND INSTALL, REWELD PINTHAT WAS ROTTED AND REINFORCEINVOICE 20153$1,000.",1774.46,0,1774.46
2111,02/24/2015 12:00:00 AM,14419,110301,607,40    NEGLIGENCE,REPAIR BROOM ATTACCHMENT,1684.14,0,1684.14
2143,01/06/2015 12:00:00 AM,14151,27143,369,04    DRIVER'S REPORT,"CHECK AIMS SYSTEM WILL NOT FUEL UP, C HECK AIR SYSTEM & TIRES",1666.57,0,1666.57
2111,02/19/2015 12:00:00 AM,14453,1366,242,13    SNOW BREAKDOWN,RIGHT SIDE TIRES FEEL OFF,1648.57,0,1648.57
2111,03/27/2015 12:00:00 AM,14788,1469,122,10    ROADCALL,ROAD CALL NO BRAKES,1620.49,0,1620.49
2143,01/06/2015 12:00:00 AM,13802,45569,350,04    DRIVER'S REPORT,"DIESEL FUEL LEAK  UNDER CAB, L/REAR PACKER PISTON LEAKS",1607.45,0,1607.45
2111,02/27/2015 12:00:00 AM,14655,1225,119,13    SNOW BREAKDOWN,NO REAR BRAKES,1585.07,0,1585.07
2143,02/13/2015 12:00:00 AM,14500,5694,368,04    DRIVER'S REPORT,FRONT TIRESCHECK FLUIDS,1574.93,0,1574.93
2111,03/27/2015 12:00:00 AM,14860,1466,124,04    DRIVER'S REPORT,CHECK BRAKES,1563.96,0,1563.96
2111,03/02/2015 12:00:00 AM,14531,1466,124,13    SNOW BREAKDOWN,LEFT REAR FLAT TIRECHECK LEAF SPRINGS,1505.3,0,1505.3
2142,01/02/2015 12:00:00 AM,14143,49617,352,04    DRIVER'S REPORT,FLAT TIRE LEFT REAR OUTSIDE,1497.5,0,1497.5
2111,02/23/2015 12:00:00 AM,14120,68935,149,04    DRIVER'S REPORT,CONVEYOR DOES NOT WORK,1469.58,0,1469.58
2111,03/13/2015 12:00:00 AM,14653,A19527      ,613,04    DRIVER'S REPORT,"NO POWER REDUCED POWER LIGHT ONSENT TO GABRIELLIINVOICE 84829MS$1468.93CLEAN DPF, REPLACE SENSOR AND CLEARED CODES",1468.93,0,1468.93
2111,02/27/2015 12:00:00 AM,14652,1366,242,13    SNOW BREAKDOWN,CHECK SPINNER,1303.83,0,1303.83
2111,03/13/2015 12:00:00 AM,14823,K01711      ,180,04    DRIVER'S REPORT,"CUT OFF OLD EDGE AND WELD NEW ONE ONARMSTRONG WELDINGINVOICE #10$1,260.00",1260,0,1260
2111,02/23/2015 12:00:00 AM,14389,1629,235,13    SNOW BREAKDOWN,ANTI FREEZE LEAKCONVOYOR STAYS ON,1228.88,0,1228.88
2111,03/27/2015 12:00:00 AM,14703,1467,121,13    SNOW BREAKDOWN,CHECK BENT SPINNER ASSY,1218.96,0,1218.96
2111,02/19/2015 12:00:00 AM,14530,1365,244,08    PM SERVICE              ***,OIL LEAK,1206.64,0,1206.64
2142,03/26/2015 12:00:00 AM,14845,48878,346,04    DRIVER'S REPORT,CHECK ALL TIRES & FLUIDS,1199.78,0,1199.78
2143,02/09/2015 12:00:00 AM,14516,50903,353,04    DRIVER'S REPORT,LEFT REAR FLAT TIRE,996.84,0,996.84
2111,01/28/2015 12:00:00 AM,14385,1243,116,04    DRIVER'S REPORT,NEEDS A 55 GALLON DRUM OF 15W40/10W40/PICKED UP BY PREZ,996.05,0,996.05
2111,01/30/2015 12:00:00 AM,14298,68933,148,13    SNOW BREAKDOWN,DONT BUILD UP AIR PRESSHARD STARTING,987.57,0,987.57
2111,02/10/2015 12:00:00 AM,14414,337658,239,38    WARRANTY,HYD LEAK UNDER CAB,973,0,973
2111,02/24/2015 12:00:00 AM,14238,621924,210,38    WARRANTY,REAR WHEEL SEALS & BRAKES,949.15,0,949.15
2111,02/06/2015 12:00:00 AM,14466,68932,147,13    SNOW BREAKDOWN,CHECK STARTER CHECK CHARGING SYSTEMADJUST CONVEYOR,920.83,0,920.83
2143,02/04/2015 12:00:00 AM,14406,5694,368,04    DRIVER'S REPORT,FLAT TIRE RIGHT REAR,917.5,0,917.5
2143,01/14/2015 12:00:00 AM,14171,50551,361,08    PM SERVICE              ***,CHECK BRAKES.P.M.  INSPECTION.FOG LIGHTS.AIR HORN PROBLEM.RIGHT DOOR LIGHT.,900.13,0,900.13
2111,01/30/2015 12:00:00 AM,14392,1400,227,13    SNOW BREAKDOWN,CONVEYOR BELT NOT WORKING,895.54,0,895.54
2141,01/20/2015 12:00:00 AM,14251,965476,389,04    DRIVER'S REPORT,ANTI FREEZE LEAKCHECK FRONT SPRINGS,893.12,0,893.12
2111,03/02/2015 12:00:00 AM,14589,1227,241,13    SNOW BREAKDOWN,NO REAR BRAKESUNIT WAS TOWED INTO SHOP FROM HAIG AVEEAST COAST TOWING,887.4,0,887.4
2143,02/13/2015 12:00:00 AM,14517,B90933      ,34,04    DRIVER'S REPORT,PM SERVICE FRONT WHEEL BEARING NOISEBRAKESWHEN FUELING FUEL BACKS UP,848.48,0,848.48
